Municipality,Year,Bulky Waste,Recycling,Tipping Fees,Admin Costs,Hazardous Waste,Contractual Services,Landfill Costs,Total Sanitation/refuse,Only Public Works,Transfer station/Recycling Center wages,Hauling fees,Curbside Pickup fees (town),Waste Collection,notes/ other broken down variables
Haddam,2020-2021,"$80,000.00","$8,500.00","$125,000.00","$5,000.00","$20,000.00",,"$15,000.00",,,"$64,260.00",,,,"Other classifications of waste disposal cost in the budgets include:
  1. Brush Disposal.
  2. Maintenance of Site--11/07; SL
 **The costs of Brush Disposal and Maintenance of Site are 17,000 and 7,000 respectively.
  **The cost included under Admin is the cost of Electric.
  **I included Overtime under Transfer Station Wages.
  **I included MSW Disposal fee under Tipping fees."
Haddam,2021-2022,"$80,000.00","$12,000.00","$150,000.00","$5,000.00","$25,000.00",,"$15,000.00",,,"$69,630.00",,,,"Other classifications of waste disposal cost in the budgets include:
  1. Brush Disposal.
  2. Maintenance of Site--11/07; SL
 **There was an overhead cost, Overtime, which I added to the Transfer station wages. 
  **The cost included under Admin is the cost of Electric.
  **The costs of Brush Disposal and Maintenance of Site are 10,000 and 20,000 respectively."
Haddam,2022-2023,"$85,000.00","$15,000.00","$180,000.00","$5,000.00","$25,000.00",,"$7,500.00",,,"$62,360.00",,,,"Other classifications of waste disposal cost in the budgets include:
  1. Brush Disposal.
  2. Maintenance of Site--11/07; SL
 **The cost included under Admin is the cost of Electric.
  **The costs of Brush Disposal and Maintenance of Site are 25,000 and 12,500 respectively"
Hamden,2019-2020,,,"$1,100,000.00",,,"$1,543,203.00",,,,,,,,
Hamden,2020-2021,,,"$1,550,000.00",,,"$1,974,286.00",,,,,,,,"I would like to point out here that the town of Hamden has a transfer station. Hence, I believe that the cost included under the Transfer station category
  and as included in the budgets should include the salaries or wages that are paid to the custodian or employees that work in the transfer station.
 **The cost included under the Solid Waste category is a cost item included in the budgets as Waste Removal-Condos."
Hamden,2021-2022,,,"$1,975,000.00",,,"$2,431,714.00",,,,,,,,"I would like to point out here that the town of Hamden has a transfer station. Hence, I believe that the cost included under the Transfer station category
  and as included in the budgets should include the salaries or wages that are paid to the custodian or employees that work in the transfer station.
 **The cost included under the Solid Waste category is a cost item included in the budgets as Waste Removal-Condos."
Hamden,2022-2023,"$250,000.00",,"$2,150,000.00",,,"$2,398,886.00",,,,,,,,"I would like to point out here that the town of Hamden has a transfer station. Hence, I believe that the cost included under the Transfer station category
  and as included in the budgets should include the salaries or wages that are paid to the custodian or employees that work in the transfer station.
 **The cost included under the Solid Waste category is a cost item included in the budgets as Waste Removal-Condos."
Hampton,2019-2020,,,"$49,500.00",,"$1,553.00",,,,,"$28,927.00",,,,"Other waste disposal cost classifications included in the budgets are:
  1. DEP Permit fees--11/07; SL
 **I include the cost of Transfer Station Lease under the Transfer Station category.
  **I include the cost of Trucking under the Solid Waste category. Opinions, comments and/or suggestions on this are welcome.
  **The DEP Permit fee is 800.
  ** The cost of Hazardous waste is included in the budgets as Sanitation MidNEROC."
Hampton,2020-2021,,,"$51,975.00",,"$1,553.00",,,,,"$29,389.00",,,,"Other waste disposal cost classifications included in the budgets are:
  1. DEP Permit fees--11/07; SL
 **I include the cost of Transfer Station Lease under the Transfer Station category.
  **I include the cost of Trucking under the Solid Waste category. 
  **The DEP Permit fee is 2,700.
  ** The cost of Hazardous waste is included in the budgets as Sanitation MidNEROC."
Hampton,2021-2022,,,"$54,575.00",,"$2,071.00",,,,,"$29,977.00",,,,"**I include the cost of Transfer Station Lease under the Transfer Station category.
  **I include the cost of Trucking under the Solid Waste category. 
  **The DEP Permit fee is 2,700.
  ** The cost of Hazardous waste is included in the budgets as Sanitation MidNEROC."
Hartford,2019,,,,,,,,,,,,,,"There is no breakdown of the Waste and Recycling Cost in the budgets--11/07; SL
 **The cost of Waste and Recycling is 2,555,464"
Hartford,2020,,,,,,,,,,,,,,"There is no breakdown of the Waste and Recycling Cost in the budgets--11/07; SL
 **The cost of Waste and Recycling is 2,450,172"
Hartford,2021,,,,,,,,,,,,,,"There is no breakdown of the Waste and Recycling Cost in the budgets--11/07; SL
 **The cost of Waste & Recycling is 2,130,951"
Hartford,2022,,,,,,,,,,,,,,"There is no breakdown of the Waste and Recycling Cost in the budgets--11/07; SL
 **The cost of Waste & Recycling is 2,623,095"
Hartland,2019-2020,,,,,,,,,,,,,,"The only cost item included in the budgets for waste disposal is Waste Disposal and Recycling.
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost of Waste Disposal and Recycling is 120,872."
Hartland,2020-2021,,,,,,,,,,,,,,"The only cost item included in the budgets for waste disposal is Waste Disposal and Recycling.
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost of Waste Disposal and Recycling is 123,574. Note that this is the from the Proposed budget. 
  There is no information on the Adopted budget amounts for this fiscal year."
Hartland,2021-2022,,,,,,,,,,,,,,"The only cost item included in the budgets for waste disposal is Waste Disposal and Recycling.
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost of Waste Disposal and Recycling is 124,707."
Hartland,2022-2023,,,,,,,,,,,,,,"The only cost item included in the budgets for waste disposal is Waste Disposal and Recycling.
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost of Waste Disposal and Recycling is 123,117."
Harwinton,,,,,,,,,,,,,,,"The only budget information available is for the 2016-2017 and 2017-2018 fiscal years.
  There is, however, available budget information for the 2018-2019 fiscal year. But that is the proposed budget and not the adopted budget.
  1. The per-ton tip fee for the 2019-2020 fiscal year was $ 83.00"
Hebron,2018-2019,,,,,,,,,,,,,,"Waste Disposal is only included in the budgets as Solid/Bulky Waste Recycling. I am stumped as to which of the categories to classify this
  under. Opinions and suggestions are welcome-11/07; SL
 **The cost of Solid/Bulky Waste Recycling is 182,435."
Hebron,2019-2020,,,,,,,,,,,,,,"Waste Disposal is only included in the budgets as Solid/Bulky Waste Recycling. I am stumped as to which of the categories to classify this
  under. Opinions and suggestions are welcome-11/07; SL
 **The cost of Solid/Bulky Waste Recycling is 182,530."
Kent,2018-2019,"$10,000.00",,"$4,500.00","$8,154.00","$2,000.00",,,,,"$31,431.00",,,,"The town has other cost classifications under Sanitation and Transfer station including:
  1. Container Rent and Tran.
  2. Testing.
  3. Permitting.
  I am unsure under which of the categories these costs should be classified so I list them out--11/07; SL
 ** The cost of Container Rent and Tran, Testing, and Permitting are 23,700, 1,200 and 950 respectively."
Kent,2019-2020,"$10,000.00",,"$3,000.00","$7,923.00","$2,000.00",,,,,"$50,622.00",,,,"The town has other cost classifications under Sanitation and Transfer station including:
  1. Container Rent and Tran.
  2. Testing.
  3. Permitting.
  I am unsure under which of the categories these costs should be classified so I list them out--11/07; SL
 ** The cost of Container Rent and Tran, Testing, and Permitting are 23000, 1200 and 950 respectively."
Killingly,2019-2020,,,,,,,,,,,,,,"The only cost item in the budgets that relates to waste disposal is Solid Waste Disposal Fund Subsidy. 
  There is, however, no breakdown of this cost item--11/07; SL
 **The amount of the Solid Waste Disposal Fund Subsidy is 321,191."
Killingly,2020-2021,,,,,,,,,,,,,,"The only cost item in the budgets that relates to waste disposal is Solid Waste Disposal Fund Subsidy. 
  There is, however, no breakdown of this cost item--11/07; SL
 **The amount of the Solid Waste Disposal Fund Subsidy is 234,801."
Killingly,2021-2022,,,,,,,,,,,,,,"The only cost item in the budgets that relates to waste disposal is Solid Waste Disposal Fund Subsidy. 
  There is, however, no breakdown of this cost item--11/07; SL
 **The amount of the Solid Waste Disposal Fund Subsidy is 234,801."
Killingly,2022-2023,,,,,,,,,,,,,,"The only cost item in the budgets that relates to waste disposal is Solid Waste Disposal Fund Subsidy. 
  There is, however, no breakdown of this cost item--11/07; SL
 **The amount of the Solid Waste Disposal Fund Subsidy is 234,801."
Killingworth,2019-2020,"$76,500.00",,,"$2,356.00","$13,000.00",,,,,,,,,"The waste disposal cost for this town is provided under Sanitation and Health. I include only costs I think are associated with waste disposal and 
  exclude health-related costs. Apart from the costs I have grouped under the various classifications, there are two other costs I am unsure as to what category they should
  be classified under. These are:
  1. Carting and Disposal Expense and 
  2. Sanitarian-Expenses
  I classify Carting and Disposal Expense under Solid Waste and Sanitarian-Expenses under Admin Costs. Opinions and suggestions regarding the 
  appropriate cost category are welcome--11/07; SL"
Killingworth,2020-2021,"$76,500.00",,,"$2,356.00","$11,600.00",,,,,,,,,"The waste disposal cost for this town is provided under Sanitation and Health. I include only costs I think are associated with waste disposal and 
  exclude health-related costs. Apart from the costs I have grouped under the various classifications, there are two other costs I am unsure as to what category they should
  be classified under. These are:
  1. Carting and Disposal Expense and 
  2. Sanitarian-Expenses
  I classify Carting and Disposal Expense under Solid Waste and Sanitarian-Expenses under Admin Costs. Opinions and suggestions regarding the 
  appropriate cost category are welcome--11/07; SL"
Killingworth,2021-2022,"$81,000.00",,,"$1,700.00","$12,400.00",,,,,,,,,"The waste disposal cost for this town is provided under Sanitation and Health. I include only costs I think are associated with waste disposal and 
  exclude health-related costs. Apart from the costs I have grouped under the various classifications, there are two other costs I am unsure as to what category they should
  be classified under. These are:
  1. Carting and Disposal Expense and 
  2. Sanitarian-Expenses
  I classify Carting and Disposal Expense under Solid Waste and Sanitarian-Expenses under Admin Costs. Opinions and suggestions regarding the 
  appropriate cost category are welcome--11/07; SL"
Killingworth,2022-2023,"$90,500.00",,,,"$12,400.00",,,,,,,,,"The waste disposal cost for this town is provided under Sanitation and Health. I include only costs I think are associated with waste disposal and 
  exclude health-related costs. Apart from the costs I have grouped under the various classifications, there are two other costs I am unsure as to what category they should
  be classified under. These are:
  1. Carting and Disposal Expense and 
  2. Sanitarian-Expenses
  I classify Carting and Disposal Expense under Solid Waste and Sanitarian-Expenses under Admin Costs. Opinions and suggestions regarding the 
  appropriate cost category are welcome--11/07; SL"
Lebanon,2019-2020,,,,,,,,,,,,,,"The only cost item associated with waste management or disposal in the budgets is Solid Waste Facility. 
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost amount related to Solid Waste Facility is 190,000."
Lebanon,2020-2021,,,,,,,,,,,,,,"The only cost item associated with waste management or disposal in the budgets is Solid Waste Facility. 
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost amount related to Solid Waste Facility is 190,000."
Lebanon,2021-2022,,,,,,,,,,,,,,"The only cost item associated with waste management or disposal in the budgets is Solid Waste Facility. 
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost amount related to Solid Waste Facility is 190,000."
Lebanon,2022-2023,,,,,,,,,,,,,,"The only cost item associated with waste management or disposal in the budgets is Solid Waste Facility. 
  However, there is no breakdown of this cost item in the budgets--11/07; SL
 **The cost amount related to Solid Waste Facility is 206,371"
Ledyard,2019,"$50,000.00",,"$365,400.00","$5,000.00",,,,,"$5,000.00",,,,,"1. I categorize a cost item, Disposal Service, under Solid Waste. This is based on my own discretion. 
  Any opinions or suggestions on this classification are welcome.
  2. There is a new cost item included under Sanitation called Contingency/Miscellaneous. I list this cost item rather than classify it into one of the categories
  It could well be that this cost item is the cost of contractual trash pick up because the town provides curbside trash pickup--11/07; SL"
Ledyard,2020,"$55,000.00",,*362500,"$5,000.00",,,,,"$5,000.00",,,,,
Ledyard,2021,,,"$365,400.00","$5,000.00",,,,,"$2,000.00",,,,,"**The amount budgeted for Miscellaneous/Contingency is 65,000."
Ledyard,2022,,,"$371,200.00","$5,000.00",,,,,"$2,000.00",,,,,"**The amount budgeted for Miscellaneous/Contingency is 65,000."
Lisbon,2019-2020,,"$55,830.00",,,,,,,,,,,,"The cost item that relates to waste disposal in the budgets is Recycling and broken down into:
  1. Purchased Services
  2. Supplies and Expenses.
  I put the entire cost under Recycling. Contrary opinions or suggestions in this regard are welcome--11/08; SL"
Lisbon,2020-2021,,"$55,830.00",,,,,,,,,,,,"The cost item that relates to waste disposal in the budgets is Recycling and broken down into:
  1. Purchased Services
  2. Supplies and Expenses.
  I put the entire cost under Recycling. Contrary opinions or suggestions in this regard are welcome--11/08; SL"
Lisbon,2021-2022,,"$55,830.00",,,,,,,,,,,,"The cost item that relates to waste disposal in the budgets is Recycling and broken down into:
  1. Purchased Services
  2. Supplies and Expenses.
  I put the entire cost under Recycling. Contrary opinions or suggestions in this regard are welcome--11/08; SL"
Lisbon,2022-2023,,"$56,329.00",,,,,,,,,,,,"The cost item that relates to waste disposal in the budgets is Recycling and broken down into:
  1. Purchased Services
  2. Supplies and Expenses.
  I put the entire cost under Recycling. Contrary opinions or suggestions in this regard are welcome--11/08; SL"
Litchfield,2019-2020,,,,,,,,,,,,,,"The only cost item in the budgets that pertains to waste diposal is Solid Waste & Recycling. However, this cost is not broken down.
  I put this cost under Solid Waste.
  1. The tip fee per ton is $110.00 (this is information I gleaned from the website. However, I am unsure what year(s) this amount applies to, as that is not
  indicated."
Litchfield,2020-2021,,,,,,,,,,,,,,"The only cost item in the budgets that pertains to waste diposal is Solid Waste & Recycling. However, this cost is not broken down.
  I put this cost under Solid Waste.
  1. The tip fee per ton is $110.00 (this is information I gleaned from the website. However, I am unsure what year(s) this amount applies to, as that is not
  indicated."
Litchfield,2021-2022,,,,,,,,,,,,,,"The only cost item in the budgets that pertains to waste diposal is Solid Waste & Recycling. However, this cost is not broken down.
  I put this cost under Solid Waste.
  1. The tip fee per ton is $110.00 (this is information I gleaned from the website. However, I am unsure what year(s) this amount applies to, as that is not
  indicated."
Litchfield,2022-2023,,,,,,,,,,,,,,"The only cost item in the budgets that pertains to waste diposal is Solid Waste & Recycling. However, this cost is not broken down.
  I put this cost under Solid Waste.
  1. The tip fee per ton is $110.00 (this is information I gleaned from the website. However, I am unsure what year(s) this amount applies to, as that is not
  indicated."
Lyme,2019-2020,,"$24,216.00",,,"$9,048.00",,,,,,,,,I do not include the amounts for the fiscal year 2021-2022 because what is available is the proposed budget information--11/08; SL
Lyme,2020-2021,,"$21,523.00",,,"$9,201.00",,,,,,,,,I do not include the amounts for the fiscal year 2021-2022 because what is available is the proposed budget information--11/08; SL
Madison,2020,,"$118,695.97",,,,,,,,,,,,"The only waste management/disposal cost item in the budgets is Disposal/Recycling. There is no breakdown of this cost item
  For the purpose of classification, I put this amount under Recycling. I would also like to point out here that the town does not have a transfer station-11/08; SL"
Madison,2021,,"$157,912.00",,,,,,,,,,,,"The only waste management/disposal cost item in the budgets is Disposal/Recycling. There is no breakdown of this cost item
  For the purpose of classification, I put this amount under Recycling. I would also like to point out here that the town does not have a transfer station-11/08; SL"
Madison,2022,,"$142,300.00",,,,,,,,,,,,"The only waste management/disposal cost item in the budgets is Disposal/Recycling. There is no breakdown of this cost item
  For the purpose of classification, I put this amount under Recycling. I would also like to point out here that the town does not have a transfer station-11/08; SL"
Manchester,2019-2020,,,,"$681,223.00","$75,000.00",,"$1,780,433.00",,,,,"$3,529,139.00",,"Other cost items included in the budgets that relate to waste disposal are:
  1. Bottle Bill Program Costs.
  2. Sanitation Contingency.
  3. Sanitation Interfund Transfers.
  4. Organics & Aggregates
  I list out the amounts of these cost items under notes for the associated periods.
 **The cost of Organics & Aggregates is 541,536"
Manchester,2020-2021,,"$421,790.46",,"$384,711.48","$66,331.44",,"$1,287,075.70",,,,,"$3,603,050.95",,"Other cost items included in the budgets that relate to waste disposal are:
  1. Bottle Bill Program Costs.
  2. Sanitation Contingency.
  3. Sanitation Interfund Transfers.
  4. Organics & Aggregates
  I list out the amounts of these cost items under notes for the associated periods.
 **Sanitation Interfund Transfers are 380,279"
Manchester,2021-2022,,"$423,784.15",,##########,"$54,786.05",,"$1,557,754.78",,,,,"$3,859,728.74",,"Other cost items included in the budgets that relate to waste disposal are:
  1. Bottle Bill Program Costs.
  2. Sanitation Contingency.
  3. Sanitation Interfund Transfers.
  4. Organics & Aggregates
  I list out the amounts of these cost items under notes for the associated periods.
 **The cost item categorized under Admin Costs is highlighted in the budgets as Sanitation Administration.
  **Sanitation Interfund Transfers are 1,390,335.00."
Manchester,2022-2023,,"$531,553.00",,"$1,038,541.00","$65,000.00",,"$1,615,530.00",,,,,"$3,981,232.00",,"Other cost items included in the budgets that relate to waste disposal are:
  1. Bottle Bill Program Costs.
  2. Sanitation Contingency.
  3. Sanitation Interfund Transfers.
  4. Organics & Aggregates
  I list out the amounts of these cost items under notes for the associated periods.
 **Bottle Bill Program Costs and Sanitation Interfund Transfers are 75000 and 1430612 respectively."
Mansfield,,,,,,,,,,,,,,,"In the town of Mansfield, waste management/disposal is under Public Works. However, in the budgets there is no explicit cost of waste disposal--11/08; SL"
Marlborough,,,,,,,,,,,,,,,There is no available budget information for this town--11/08
Meriden,2019,"$128,603.00",,,,,,,,,,,,"$1,451,614.00",
Meriden,2020,"$103,246.00",,,,,,,,,,,,"$1,390,944.00",
Meriden,2021,"$103,200.00",,,,,,,,,,,,"$1,790,784.00",
Meriden,2022,"$109,360.00",,,,,,,,,,,,"$1,790,000.00",
Middlebury,2021,,,"$250,000.00","$15,000.00",,,,,,"$131,233.00",,,,"The cost item classified under Transfer Station wages includes Salaries, Temporary Salaries and Part-Time Salaries. These costs are not explicitly included as Transfer
  Station wages/salaries. Their classification under the Transfer Station category as done here is based on my discretion. 
  The town has a transfer station. Hence, I felt that the salaries as included should be classified under Transfer Station wages. 
  Contrary opinions or suggestions are welcome
  #There is another cost included in the budgets that is associated with waste disposal, Machine/Equipment Maintenance. 
  I classify this cost under Admin Costs--11/08; SL"
Middlebury,2022,,,"$280,677.00","$15,000.00",,,,,,"$133,952.00",,,,"The cost item classified under Transfer Station wages includes Salaries, Temporary Salaries and Part-Time Salaries. These costs are not explicitly included as Transfer
  Station wages/salaries. Their classification under the Transfer Station category as done here is based on my discretion. 
  The town has a transfer station. Hence, I felt that the salaries as included should be classified under Transfer Station wages. 
  Contrary opinions or suggestions are welcome
  #There is another cost included in the budgets that is associated with waste disposal, Machine/Equipment Maintenance. 
  I classify this cost under Admin Costs--11/08; SL"
Middlebury,2023,,,"$320,310.00","$15,000.00",,,,,,"$140,967.00",,,,"The cost item classified under Transfer Station wages includes Salaries, Temporary Salaries and Part-Time Salaries. These costs are not explicitly included as Transfer
  Station wages/salaries. Their classification under the Transfer Station category as done here is based on my discretion. 
  The town has a transfer station. Hence, I felt that the salaries as included should be classified under Transfer Station wages. 
  Contrary opinions or suggestions are welcome
  #There is another cost included in the budgets that is associated with waste disposal, Machine/Equipment Maintenance. 
  I classify this cost under Admin Costs--11/08; SL"
Middlefield,,,,,,,,,,,,,,,There is no explicit cost of waste disposal included in the budgets--11/10; SL
Middletown,2020,,,,"$2,882.00",,"$96,843.00",,,,"$73,388.00",,,,"1. Printing is included as a separate cost item in the budgets. I add this cost item to General Administrative Costs and
  classify both cost items under Admin Costs here.
  2. Contractual services as included in the budgets include:
  a. Miscellaneous Recycling
  b. Mixed Recycling Violations.
  c. Composting leaves
  d. Household Hazardous Waste.
  e. Waste Oil Collection/Anti-freeze
  f. Recycling Fluorescent Bulbs
  g. Recycling Center DEP Permit
  h. Refrigerent Recovery
  i. Single Stream Recycling.
  **I include the sum of all these costs under Contractual Services here as done in the budgets.
  3. The cost of overtime is included in the amount of wages included here--11/10; SL"
Middletown,2021,,,,"$2,882.00",,"$97,843.00",,,,"$75,227.00",,,,"1. Printing is included as a separate cost item in the budgets. I add this cost item to General Administrative Costs and
  classify both cost items under Admin Costs here.
  2. Contractual services as included in the budgets include:
  a. Miscellaneous Recycling
  b. Mixed Recycling Violations.
  c. Composting leaves
  d. Household Hazardous Waste.
  e. Waste Oil Collection/Anti-freeze
  f. Recycling Fluorescent Bulbs
  g. Recycling Center DEP Permit
  h. Refrigerent Recovery
  i. Single Stream Recycling.
  **I include the sum of all these costs under Contractual Services here as done in the budgets.
  3. The cost of overtime is included in the amount of wages included here--11/10; SL"
