Municipality,Time Period,link,notes,Town population (2022),Town size (Square miles) (2010),
Greenwich,2002-2024,"https://www.greenwichct.gov/Archive.aspx?AMID=50
 https://www.greenwichct.gov/460/Budget-Documents-Schedules",,"63,638",40.68,
Griswold,2018-2024,https://www.griswold-ct.org/departments/finance_office/index.php#outer-31,,"11,509",47.62,
Groton,2017-2024,https://www.groton-ct.gov/departments/finance/reports.php#outer-568,,"37,743",34.71,
Guilford,2023-2024,https://cms5.revize.com/revize/guilfordct/Document_Center/News Items/BOF Published Budget 03.30.23.pdf,**Alyssa has information,"22,019",31.03,
Haddam,2010-2024,https://www.haddam.org/board-finance/pages/budgets,"The cost of waste management is included in the budgets as Waste Disposal. This cost is comprised of: Salaries paid to the custodian of the transfer station, Overtime, Maintenance of Site, MSW Disposal Fee, MSW Transportation, Bulky Waste Disposal Fee, Bulky Waste Transport, Brush Disposal, Landfill Monitoring, Electric, Recycling, and HH Hazard Waste Collection. There are also one-time costs including Waste Site Transition Cost--10/27; SL","8,670",47.12,
Hamden,2008-2024,https://hamden.com/Archive.aspx?AMID=38,"The expenditure items related to waste management are classified under Public Works expenditure. The more explicit and easily identifiable of these costs include CRRA tipping fees, Waste removal-Condos, Waste removal contracts, Recycling materials & supplies, Landfill materials & supplies, and Hazardous waste. The town has a transfer station so I believe that the salaries of the coordinator or custodian of the transfer station would be a component of the Regular salaries item in the budget. However, I am not sure of this--10/27; SL","60,809",43.94,
Hampton,2014-2022,https://www.hamptonct.org/board.htm?id=k78z51up,"The cost items related to waste management are classified under Sanitation and include: Transfer Station, Payroll, DEP Permit fee, Tipping fees, Trucking, Transfer station lease, and MidNEROC. I believe that MidNEROC, as included in the budget, relates to the cost of hazardous waste disposal. The town of Hampton does not have a municipal contractor(s) that provides residential curbside trash pickup. Hence, I am unsure what the Trucking cost as included in the budget really means-10/30; SL","1,738",32.65,
Hartford,2012-2024,https://www.hartfordct.gov/Government/Departments/OMBG,"The cost of waste management included in the budgets is broadly classified as Waste & Recycling. This cost includes the cost of education and enforcement , municipal solid waste and curbside collection, and transfer centers. However, these costs are not individualized or separately categorized-10/30; SL","120,686",25.09,
Hartland,2019-2024,https://www.hartlandct.org/boards-commissions/board-of-finance-page#2023-3,The cost item related to waste management in the budgets is Waste Disposal and Recycling. There is no breakdown of the components of this cost item-10/30; SL,"1,908",17.38,
Harwinton,2016-2019,https://www.harwinton.us/home/pages/studies-reports,"The cost items related to waste management as included in the budgets include: Town Refuse, Recycling and Hazardous waste. The town does not have a transfer station. Hence, waste is transported to the MIRA transfer station in Torrington. Since the town does not have a municipally-contracted provider of curbside trash collection, individuals /households have to privately contract with haulers. I find that for the 2019/2020 fiscal year, the town was charged a tipping fee of $ 83.00 per ton for garbage disposal, and total waste generated was 1703 tons- 10/30; SL","5,562",33.08,
Hebron,2009-2024,https://hebronct.com/town-departments/finance-department/budget-information/,The only cost item related to waste management and disposal in the budgets is Recycling & Bulky Waste-10/30; SL,"9,121",30.79,
Kent,2008-2024,https://www.townofkentct.org/board-finance/pages/budget-archives,"The cost of waste management is classified under Sanitation and is further sub-divided into Transfer Station and Landfill Monitoring. The Transfer Station costs include Salaries and other administrative costs of running the transfer station such as Supplies, Postage, and Engineering, among others. There are also explicit waste-associated costs included under the Transfer station classification such as: Solid Waste Removal, Bulky Waste Removal, Tipping fees, and Hazardous Materials--10/30; SL","3,051",36.94,
Killingly,2015-2024,https://www.killingly.org/finance/pages/approved-budgets,The only cost item included in the budgets that relates to waste management and disposal is Soild Waste Disposal Fund Subsidy. There is no breakdown of the components of this cost item-10/30; SL,"17,837",48.55,
Killingworth,2018-2024,https://townofkillingworth.com/finance-department/,"There is the Sanitation and Health cost item included in the budgets that includes some expenditure items associated with waste management. These include: Carting and Disposal Expense, Bulky Waste Disposal, and Hazardous Waste Collection--10/30; SL","6,239",48.31,
Lebanon,2013-2024,https://www.lebanonct.gov/board-finance/pages/budgets,"The only cost item associated with waste management in the budgets is Solid Waste Facility. There is, however, no breakdown of the components of this cost item-10/30; SL","7,132",35.33,
Ledyard,2007-2024,https://www.ledyardct.org/DocumentCenter/View/746260/FY-2022-2023-Adopted-Budget,"The cost of waste management is included in the budgets as Sanitation and includes Recycling/Tires/Bulky Waste, Curbside Collection Contracts, Tipping fees, Landfill Stickers, Salaries to Public Works Employees, and one off costs such as SCRRRA Assessment and Landfill Monitoring--10/30; SL","15,456",54.1,
Lisbon,2014-2024,https://www.lisbonct.com/board-finance/pages/budgets,The expenditure item in the budgets that relates to waste management is Recycling which includes Purchased Services as well as Supplies & Expenses-10/30; SL,"4,242",38.22,
Litchfield,2006-2024,https://www.townoflitchfield.org/subpages/town-budgets,The only cost item on waste management included in the budgets is Solid Waste & Recycling. This cost is not broken down-10/30; SL,"8,279",16.29,
Lyme,2008-2022,https://townlyme.org/town-finances/,"Before the fiscal year 2019, costs associated with waste management were included as Sanitation Costs and included Landfill Costs, Tipping fees, Sanitarian, and Recycling. The cost of Hazardous Waste disposal was included under Public Safety. From 2019, the town's waste management cost, still classified under Sanitation, now included Pollution Control and Hazardous Waste in addition to Landfill Costs, Tipping fees, Sanitarian, and Recycling-10/30; SL","2,401",56.1,
Madison,2011-2024,https://www.madisonct.org/Archive.aspx?AMID=39,The only waste management cost item in the budgets is Disposal/Recycling. There is no breakdown of this cost item-10/30; SL,"17,565",31.84,
Manchester,2018-2023,https://www.manchesterct.gov/Government/Departments/Budget-and-Research-Office,"There is a general fund item in the budgets that pertains to waste management, the Sanitation fund. The town has a landfill. Hence, revenues into the Sanitation fund include commercial tipping fees from haulers who dispose at the town's landfill, landfill resident user fees, and disposal charges to the Sewer fund for process waste disposal. Expenditure from the Sanitation fund include the cost of providing curbside refuse collection/pickup for residents of the town, maintenance and operation of the landfill, and cost of the curbside leaf vacuuming program-10/30; SL","59,461",36.15,
Mansfield,2011-2024,https://www.mansfieldct.gov/169/Budget-Information,I can't seem to find a specific cost item that pertains to waste management in the budgets--10/30; SL,"31,949",27.4,
Marlborough,,,There is no available budget information for this town. I guess we may have to ask when we reach out to the contact person-10/17; SL,"6,109",44.6,
Meriden,2002-2024,https://www.meridenct.gov/city-services/finance/current-and-past-adopted-budgets/,**Alyssa has information.,"60,242",23.35,
Middlebury,2021-2024,https://www.middlebury-ct.org/finance-department/pages/financial-statements-adopted-budgets,"The cost item included in the budgets for waste management is Waste Removal Expense and this is broken down into TIP Fees/Waste Disposal/Reserve, Salaries, Temporary Salaries, Part-time Salaries, Machine and Equipment Maintenance-10/30; SL","7,807",23.79,
Middlefield,2008-2024,https://www.middlefieldct.org/187/Finance,,"4,248",17.75,
Middletown,2009-2024,https://www.middletownct.gov/Archive.aspx?AMID=52,The cost of waste management in the budgets is classified under Recycling. The Recycling cost includes general operating and overhead expenses incurred by the recycling division(such as wages and salaries and administrative expenses) and Recycling Contractual Services which includes the cost of waste removal and processing.,"48,729",12.65,
Milford,2014-2024,https://www.ci.milford.ct.us/city-budget,"Solid Waste (Personal Services, Employee Fringe Benefits, Operational Expenses, Capital Outlays)","52,679",41.02,
Monroe,2008-2024,https://www.monroect.gov/p/annual-town-budgets,"Solid Waste, Recycling [Santation (Salary, Disposal, Landfill, Water electric), Recycling (hazard Waste, Transfer Station, Contracted Services, Operating Expense)]","18,796",26.07,
Montville,2009-2024,https://www.townofmontville.org/form-repository/mayors-proposed-budget/,"Transfer Station (Permits, Reclaimtion, Disposal Fees) , Solid Waste","17,891",41.95,
Morris,No Budget Info,,,"2,267",17.35,
Naugatuck,2023,http://www.naugatuck-ct.gov/accounting/budget,"Bulk Trash Fees, Bulky Trash Recycling, Household Hazardous Waste, Recycling Collection","31,705",16.31,
Newington,2010-2024,https://www.newingtonct.gov/Archive.aspx?AMID=38,"Solid Waste Services [Personal Services(Overtime, Part-time), Professtional Service(Other Contractual Services), Marterial & Supplies, Capital Outlay (Techniclal Equipment)]","30,356",13.14,
Newtown,2020-2024,https://www.newtown-ct.gov/finance-department/pages/budget-2023-2024,"Transfer station [Salatires & Wages (Full-time, Overtime, Group insurance, ..., Other Employee Benefits), Contractual Services (Curbside Recycling Pick-Up, Household Hazardous Waste Day (5 per year), MSW (Garbage) Hauling & Tip Fees, Recycling and Organics Tip Fees...), Energy-electricity, Capital]","27,577",57.66,
New Britain,2012-2024,https://www.newbritainct.gov/documents/finance,"Sanitation (License, Rents, Sanitation Residential, Sanitation Recycling, Sanitation Housing, Recycling Rebates, Sanitation Commercial, Sanitation Sewer Protection, Gallery, Cart Revenue... )","74,396",13.39,
New Canaan,2013-2024,https://www.newcanaan.info/departments/finance/budgets___financial_reports.php,"Transfer Station (Wages, Employee Benefits, Purchased Professional Services, Purchased Property Services, Purchased Other Services, Supplies, Miscellaneous)","20,775",22.19,
New Fairfield,2014-2022,https://www.newfairfield.org/our-town/boards-and-commissions/board-of-finance,,"13,536",20.44,
New Hartford,2013-2023,https://www.newhartfordct.gov/board-of-finance/pages/budgets,,"6,698",37.04,
New Haven,2012-2024,https://www.newhavenct.gov/government/departments-divisions/office-of-management-budget/annual-city-budgets-audits,,"138,915",18.68,
New London,2013-2024,https://newlondonct.org/budgets,,"27,980",5.62,
New Milford,2005-2024,https://www.newmilford.org/content/3086/3116/default.aspx,,"28,275",61.57,
Norfolk,No Budget Info,,,"1,594",45.32,
North Branford,2011-2024,https://www.northbranfordct.gov/documentcenter,,"13,464",24.76,
North Canaan,2021-2022,https://www.northcanaan.org/entities/treasurer,,"3,209",19.47,
North Haven,2007-2024,https://www.town.north-haven.ct.us/government/town_departments/departments_(e_-_l)/finance/fiscal_year_budgets.php#outer-183,,"24,114",20.84,
North Stonington,2005-2024,https://www.northstoningtonct.gov/board-finance/pages/budget-detail,,"5,174",54.25,
Norwalk,2013-2024,https://www.norwalkct.gov/941/Budgets,,"91,401",22.86,
Norwich,2005-2024,https://www.norwichct.org/Archive.aspx?AMID=41,,"40,009",28.06,
Old Lyme,2007-2024,https://www.oldlyme-ct.gov/Archive.aspx?AMID=37,,"7,684",23.02,
Old Saybrook,2013-2023,https://www.oldsaybrookct.gov/finance-department/pages/budget-documents,,"10,535",15.04,
Orange,2017-2024,https://www.orange-ct.gov/DocumentCenter/Index/410,,"14,258",17.18,
Oxford,2013-2024,https://www.oxford-ct.gov/finance/pages/budgets,,"12,941",32.74,
Plainfield,2016-2024,https://www.plainfieldct.org/departments/finance/index.php#Financial,Bulky Waste - outservice; refuse disposal,"15,143",42.36,
Plainville,2015- 2023,https://www.plainvillect.com/finance-department/pages/town-budget,Solid Waste; Transfer Station,"17,479",9.71,
Plymouth,2013-2024,http://www.plymouthct.us/Annual-Reports-and-Budgets/,Not clearly listed,"11,711",21.89,
Pomfret,2013-2022,https://www.pomfretct.gov/board-of-finance/pages/budgets,Bulky Waste,"4,307",40.33,
Portland,2010-2024,https://www.portlandct.org/budgets,Not clearly listed,"9,429",23.35,
Preston,2015-2024,https://www.preston-ct.org/247/Adopted-Budgets,Transfer Station,"4,840",30.82,
Prospect,2021-2024,https://townofprospect.org/budget-information/,Recycling/Solid Waste,"9,435",14.23,
Putnam,2020-2022,https://www.putnamct.us/departments/finance,Waste- contracted out (Willimantic Waste),"9,302",20.3,
Redding,2004-2022,https://townofreddingct.org/financials/,Transfer Station (around pg 30),"8,746",31.5,
Ridgefield,2006-2019,https://www.ridgefieldct.gov/files/,Solid Waste,"25,007",34.52,
Rocky Hill,2009-2024,https://www.rockyhillct.gov/506/Adopted-Budgets,Listed under sanitation: Solid Waste,"20,712",13.45,
Roxbury,2020-2024,https://www.roxburyct.com/sites/g/files/vyhlif1146/f/uploads/fy23-24_approved_budget.pdf,I could only find the one document,"2,279",26.3,
Salem,2011-2024,https://www.salemct.gov/town-government/pages/budgets-financial,Transfer Station costs broken down,"4,326",28.92,
Salisbury,2021-2023,https://www.salisburyct.us/wp-content/uploads/2022/07/final-selectmens-budget-22-23.pdf,I could only find the one clear document,"4,239",57.24,
Scotland,2017-2023,https://www.scotlandct.org/entities/finance-department,transfer station,"1,577",18.63,
Seymour,2016-2022,https://www.seymourct.org/departments/Finance/2021-22BudgetInformation,Sanitation; transfer station,"16,809",14.52,
Sharon,2020-2024,https://www.sharonct.org/board-finance/files/board-selectmen-budget-2020-2021,Lited under board of selectman budget; Municipal Waste,"2,724",58.76,
Shelton,2021-2022,https://cityofshelton.org/p/annual-reports-and-budgets,I could only find the one document,"41,897",30.63,
Sherman,2011-2024,https://www.townofshermanct.org/government/budget.php#revize_document_center_rz1024,Not clearly listed,"3,537",21.89,
Simsbury,2014-2023,https://www.simsbury-ct.gov/finance/pages/2023-2024-budget-information,Not clearly listed,"24,935",33.92,
Somers,2013-2024,https://www.somersct.gov/boards-and-commissions/board-of-finance/,"transfer station, public works","9,843",28.37,
South Windsor,2010-2024,https://www.southwindsor-ct.gov/finance-department/pages/budget-reports,Refuse disposal,"26,783",28.06,
Southbury,2009-2024,https://www.southbury-ct.org/content/20556/20567/20580/23221.aspx,,"19,979",38.99,
Southington,2021-2024,https://www.southington.org/departments/town_manager/proposed_budget.php,Bulky Waste,"43,753",35.91,
Sprague,2011-2024,https://www.ctsprague.org/documents.htm,waste management,"2,958",13.25,
Stafford,2015-2020,https://www.staffordct.org/departments/finance.php#outer-76,listed under financial and audit info,"11,449",58.04,
Stamford,1999-2024,https://www.stamfordct.gov/government/administration/office-of-policy-management/budget-information,,"136,188",37.64,
Sterling,2017-2024,https://www.sterlingct.us/?s=budget,"transfer station; The budgets arent all together, have to scroll to find","3,623",27.22,
Stonington,2005-2024,https://www.stonington-ct.gov/finance-department/pages/municipal-budgets,Solid Waste,"18,480",38.66,
Stratford,2008-2024,https://www.stratfordct.gov/content/39832/39846/39909/43105/default.aspx,Not clearly listed,"52,477",17.48,
Suffield,2006-2024,https://www.suffieldct.gov/government/agendas-minutes,,"15,731",42.26,
Thomaston,2015-2024,http://www.thomastonct.org/content/161/200/302/default.aspx,Solid waste recycling,"7,468",11.97,
Thompson,2013-2023,https://www.thompsonct.org/finance/pages/budgets,transfer station,"9,315",46.9,
Tolland,2013-2025,https://www.tollandct.gov/finance-department/pages/2018-2019-budget-information,Public works,"14,577",39.63,
Torrington,2009-2024,https://www.torringtonct.org/comptrollers-office/pages/annual-budgets-financial-statements,public works,"35,563",39.75,
Trumbull,2009-2024,https://www.trumbull-ct.gov/Archive.aspx?AMID=48,"transfer station, solid waste","37,135",23.32,
Union,2023-2024,http://www.unionconnecticut.org/file-c-users-union-documents-union-town-budget-2023-2024-passed-at-town-meeting-5-8-23-pdf/,I could only find the one budget,793,28.8,
Vernon,2006-2024,https://www.vernon-ct.gov/government/town-council/budget-hearing-agendas-and-minutes,transfer station,"30,625",17.7,
Voluntown,2014-2022,https://ears.opm.ct.gov/Public/Report.aspx,"transfer station, public works","2,592",38.96,
Wallingford,2016-2024,https://www.wallingfordct.gov/government/departments/finance-department/,listed under public works,"44,017",39.04,
Warren,2010-2022,https://www.warrenct.gov/board-selectmen/pages/annual-reportsbudgetsaudit-reports,waste collection and hauling; recycling,"1,352",26.31,
Washington,2015-2024,https://www.washingtonct.org/board-of-finance/pages/approved-budgets-0,transfer station,"3,666",38.07,
Waterbury,2007-2024,https://www.waterburyct.org/Budget,refuse collection,"115,016",28.52,
Waterford,2020-2024,https://www.waterfordct.org/617/Approved-Town-Budgets,transfer station,"19,603",32.77,
Watertown,2019-2024,https://cms7.revize.com/revize/watertownct/departments/finance_department/index.php#outer-7,solid waste,"22,183",29.01,
West Hartford,2015-2023,https://www.westhartfordct.gov/town-departments/financial-services,"transfer station, solid waste","64,271",21.84,
West Haven,2013-2021,http://www.cityofwesthaven.com/Archive.aspx?AMID=37,"Disposal of solid waste, recycling","55,004",10.75,
Westbrook,2012-2024,http://www.westbrookct.us/Archive.aspx?AMID=36,waste collection,"6,860",15.78,
Weston,2017-2024,https://westonct.gov/government/municipal-departments/finance,Solid Waste Disposal,"10,354",19.8,
Westport,2015-2024,https://www.westportct.gov/government/departments-a-z/finance-department/town-budgets,Public works solid waste,"27,427",19.96,
Wethersfield,2012-2024,https://wethersfieldct.gov/content/398/410/5275.aspx,transfer station; bulk and transfer collections; refuse disposal; recycling services,"27,129",12.31,
Willington,2012-2023,https://ears.opm.ct.gov/Public/Report.aspx,transfer station,"5,544",33.29,
Wilton,2009-2024,https://www.wiltonct.org/finance-department/pages/adopted-budgets,transfer station; refuse disposal,"18,457",26.8,
Winchester,2022-2024,https://www.townofwinchester.org/subpages/adopted-budgets,waste disposal and recycloing,"10,240",32.51,
Windham,2015-2023,https://www2.windhamct.com/groups/1d5sva4p,"Solid Waste Disposal: tipping fees, payroll, transfer station","24,399",26.97,
Windsor,2019-2024,https://townofwindsorct.com/finance/town-budget/,Landfill; Resident Transfer Station,"29,453",29.5,
Windsor Locks,2011-2024,https://windsorlocksct.org/finance-department/,Public Works; Landfill/Refuse Removal,"12,537",9.02,
Wolcott,2012-2024,https://wolcottct.org/town-departments/finance-treasurer/,"General Government: refuse collection, recycling, refuse disposal","16,190",20.43,
Woodbridge,2015-2024,https://www.woodbridgect.org/428/Annual-Budgets,"Waste Management: Tipping fees, bulky waste, payroll, etc","9,051",18.81,
Woodbury,2014-2022,https://woodburyct.org/reports,Transfer Station/Recycling Center; bulky waste,"9,802",36.4,
Woodstock,2021-2024,https://www.woodstockct.gov/board-finance/pages/annual-budgets,Transfer Station/Recycling Center,"8,312",60.64,
